Model,RMSE,MAE,R2,Target_Column,Time,Model_Filename
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206200455,Ridge_20240206200455
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206200455,huber_20240206200455
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206200455,DecisionTreeRegressor_20240206200455
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206200455,SVR_20240206200455
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206200455,br_20240206200455
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240206201254,mlp_20240206201254
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206201254,HuberRegressor_20240206201254
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206201254,GradientBoostingRegressor_20240206201254
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206201254,rf_20240206201254
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206201254,ard_20240206201254
lr,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240206201254,lr_20240206201254
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206201254,ada_20240206201254
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206201254,DecisionTreeRegressor_20240206201254
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206201254,knn_20240206201254
ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206201254,ridge_20240206201254
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206201254,ElasticNet_20240206201254
SGDRegressor,7796.752633089494,6494.865984145753,0.8809909272279283,Salary,20240206201254,SGDRegressor_20240206201254
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240206201254,NuSVR_20240206201254
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206201254,gbr_20240206201254
AdaBoostRegressor,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206201254,AdaBoostRegressor_20240206201254
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206201254,br_20240206201254
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206201254,en_20240206201254
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206201254,Ridge_20240206201254
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206201254,ARDRegression_20240206201254
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206201254,huber_20240206201254
RandomForestRegressor,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206201254,RandomForestRegressor_20240206201254
